Internal,Janome,Madeira Rayon,Robison-Anton Rayon,Sulky Rayon,Brother Embroidery,Robison-Anton Polyester,Isacord Polyester
0,,,,,,,
1,2,1000,,1005,900,5596,20
2,1,1001,,1001,1,,15
3,239,1024,,1024,,,
4,,1278,,,,,
5,,1393,,,,,
6,226,1170,,1051,515,,5513
7,232,,,1289,,,
8,,1032,,1032,612,,2830
9,201,,,,,,
10,202,1037,,1037,,,
11,236,1126,,,,,
12,,1242,,1042,,,
13,3,1025,,,,,
14,2,1043,,1005,,,
15,,1330,,,,5586,
16,,1084,,1127,843,,761
17,211,,,,,,
18,,1020,,1259,,,
19,,1105,,,,,
20,,1181,,,,,
21,209,1232,,1193,804,,3652
22,,,2321,,,,
23,,1001,,,,,
24,,1360,,,,,
25,227,,,,,,
26,207,1028,,1143,,,
27,229,,,,,,
28,,1375,,1201,,,
29,,,2529,,,,
30,232,,,,,,
31,,1315,,,,,
32,,1165,,,,5769,
33,202,1037,,,,,
34,,1272,,,,,
35,,1105,,,,,
36,238,,,,,,
37,,1068,,,,,
38,211,1232,,,,,
39,,1188,,1192,,5800,2504
40,,1383,,,,,
41,,1334,,1255,614,,2910
42,225,1147,,,,,
43,,1086,,,,,
44,246,1106,,,,,
45,246,1194,,1156,330,,6133
46,226,1370,,1174,808,,5944
47,249,,,,,,
48,,,,,,,
49,,1185,,,,,
50,,1396,,,,,
51,253,,,,,,
52,235,1221,,1181,337,,1312
53,238,1255,,1055,348,,832
54,,1136,,,,,
55,,1192,,,,,
56,,1385,,,,,
57,,,,,,,
58,,1000,,,,,
59,,1360,,2125,,,
60,,1134,,1042,,5684,3900
61,,1029,,1134,,,
62,,1049,,1279,,,
63,,1354,,1511,86,,2520
64,,1309,,,,,
65,,1181,,,,,
66,,1156,2572,1179,,5802,
67,,1249,,,,5508,
68,,1270,,,,,
69,,1065,,1227,328,,546
70,,1025,,,,,
71,273,,,,,,
72,274,1155,,1238,126,,811
73,,1248,,,,,
74,,1146,,,,5536,
75,,1250,,,,,
76,,1335,,,,,
77,,1138,,,,,
78,224,1055,,,,,
79,,,,,,,
